Order,Happiness,Review,University
44,2,This place has a tendency to eat you alive if you're not willing to do the work to carve out your own little place in it. Just come in with your priorities in mind and a fighting spirit and you should be okay.,New York University
45,5,"Being in an open campus would require you to learn to be outgoing and curious as you explore the city and the opportunities around you. You have to make plans to meet up with others, whether you're joining clubs to connect or simply texting a classmate. Classes are pretty straightforward; just be sure to turn them in on time and you should be fine.",New York University
46,5,NYC can't be beat,New York University
47,3,"I think NYU is a diverse, open-minded, and accepting community. NYU attracts a talented selection of faculty, guest professors with some of the most interesting classes that we never thought were offered in any other college. With its very convient location, it attacts a lot students from all over world.",New York University
48,5,Good,New York University
49,4,"NYU is a very great school. The one problem I have run into recently is the amount of students who don’t speak English because they are international. It is great that NYU loves to admit international students, but when they don’t speak English it is hard for teachers and students to participate in conversations or projects.",New York University
50,5,Great school overall.,New York University
51,4,This school is worth attending if you can afford it,New York University
52,4,"New York University is a great school in a great city. There is a lot of diversity that is quite natural to the city. If you come to learn, you certainly will. The great thing too is that there are always opportunities to get involved in. Whether that is gatherings off-campus or clubs on-campus. There is always something to do.",New York University
53,5,A great campus,Stanford University
54,5,Great here,Stanford University
55,4,Good place,Stanford University
56,5,"Stanford offers so much and it has been an intimidating experience because you are surrounded by talented, creative, and brilliant students. It is a humbling experience but allows you to be a better you. Stanford has top notch food, great internet since I visited some schools that had a nightmare of a connection, and top notch academics.",Stanford University
57,5,"Stanford has been a wonderful experience for me and I am sad that I am at the end of my journey here. Stanford has provided me with ample resources, distinguished professors, and challenging classes. Stanford has so many organizations or student clubs to partake in. The weather and beauty of the campus is the cherry on top that makes Stanford great",Stanford University
58,3,Can't complain about a world-class education that really pushes students to become leaders of change.,Stanford University
59,5,Best school in the nation,Stanford University
60,5,"I visited H,Y,P, MIT, but once I visited Stanford my choice was made. The beauty, atmosphere, academics, school spirit, and sports captured me. It has everything HYP can offer and MIT. Stanford would be the baby conceived between Harvard and MIT academically, but with added benefits such as friendliness, welcoming, and warmth. I am quite happy here",Stanford University
61,5,"My experience at Stanford has been an amazing on so far. The academics and athletics are outstanding. The atmosphere is inviting and the courses are tough but it is Stanford after-all. It also supports the undergraduates and graduates equally by investing into them and actually care unlike other schools we tend to hear about (coughs, Harvard).",Stanford University
62,5,"My stay at Stanford as an undergraduate student is coming to a close very soon. This wonderful home has offered nothing, but excellence and I am glad it can stand out of the shadow of Harvard since it is perceived as less, but i often attributed those thoughts to how young Stanford is in comparison to Harvard. Stanford can only increase as we seen",Stanford University
63,5,"Such an amazing school that offers world class everything, literally. The campus is simply utopian like, but classes are very difficult and demanding course load wise. Overall, I love the campus with all of its offerings, but it is up to any student to determine their experience and their GPA. People are quite brilliant, friendly, and motivated.",Stanford University
64,5,Cool school,Stanford University
65,3,Just trying to get through.....,Stanford University
66,4,"The education was spot on. While the food was good at first, it gets a little repetitive. There are very strict on their policies. The social life an acceptance are exceptional. Everyone is typically very friendly.",Stanford University
67,5,"The food, scenery, social life, network, and academics are unparalleled. Drinking can be pretty problematic, though.",Stanford University
68,4,Its cool,Stanford University
69,3,"I'm from the UK and doing post graduate studies in the United States at Stanford. Stanford is a good school with a lot of opportunity, but it's a tad below Cambridge, Oxford, Princeton and Harvard . Overall though the environment is good.",Stanford University
70,3,nothing to add,Stanford University
71,4,"Stanford is great, although many of the good profs are gone :(",Stanford University
72,3,"Amazing academics, great sports, kind of weird culture, social scene is ok",Stanford University
73,4,wifi sucks. would give it a 0,Stanford University
74,2,"Stanford is less elitist than HYP, but makes up for it with tech startup elitism. Physical sciences and STEM are dominant here, and anything humanities- or sometimes even social sciences-related is regarded as second-tier by many students. Socially, I feel as though many love it but if you're asocial it's a difficult 4 years. Mixed feelings.",Stanford University
75,3,"Although Stanford is #1 dream school according to princeton review, as a student, i find this school awful. The professors are famous but horrible teachers, the tuition here is 60k which is a complete rip off for a ""brand name"" university. Also, they didn't have the major that I desired which sucked a lot. I wish I went to a state university",Stanford University
76,5,Lives up to its reputation 100%.,Stanford University
77,2,"It's in a great location, but most of the students are elitist and cliquey. The professors are mediocre; they can research, but they can't really teach. I am slightly disappointed by my selection to go here rather than Harvard, Yale, or Princeton.",Stanford University
78,5,Love this school. Easily feels like home,Stanford University
79,5,A very prestigious university. So blessed to call it home.,Stanford University
80,5,its awesome,Stanford University
81,1,"Stanford is a fine university, but the school is very isolated from the real world and the student body is very elitist. Many professors are outstanding researchers but poor teachers. Most of the students were very bright, but one dimensional. I wish I had chosen a different school.",Stanford University
82,3,"Extremely overrated. There are much better local universities to attend rather than this place. First off, you have everyone competing with each other to get accepted. Then you realize that everyone is the same: high 4.3+ GPA, SAT/ACT scores, and volunteer work. It makes you question everything when everyone is the same and depressed. No thanks!",Harvard University
83,1,The institution that makes your children suffer.,Harvard University
84,5,"Taught course, smart kid",Harvard University
85,1,Harvard is just overrated. Yes I am a graduate,Harvard University
86,3,"I found that Harvard was a school that you bragged about getting into, but once you are there the majority of the people there are the same. All of the students had a 4.5+ GPA in high school but yet when we get to college we are barely holding on to a 3.0 GPA. I think it prepares you a lot for the real world and would definitely recommend going.",Harvard University
87,1,I hated my experience at Harvard University. My profs were awful and I learned nothing.,Harvard University
88,1,Hell on Earth.,Harvard University
89,4,"Going to Harvard is like entering this magical parallel universe bubble where the world is your oyster; you have access to anything you could want. What they don't tell you is that Harvard doesn't prepare you for the real world, and putting it on your CV isn't a ticket to a great life. I loved it there but 5 yrs later I feel so lost and hopeless.",Harvard University
90,5,"Harvard is an amazing place because everyone is there to learn from each other. The courses are what you would expect. To succeed at Harvard you have to know how to write and write well, in addition being an active participant within the university community. Harvard seeks those who bring something more than just grades to the community.",Harvard University
91,2,Very good university but no social life.,Harvard University
92,1,Everyone here is depressed and you'd save so much money picking a different uni,Harvard University
93,1,"I love this school! But I'm very sad and alone, if you wish to be social this is not the school...",Harvard University
94,1,This place stinks shoulda stuck w/ the u of u,Harvard University
95,5,The best,Harvard University
96,5,really good,Harvard University
97,1,WORST school ever!!,Harvard University
98,5,"Very competitive to get into, but once you're in, it's an amazing place to be at. everyone is rude.",Harvard University
99,5,"Harvard was a very meaningful experience and assisted me to become the CEO of my own company. Harvard planted the seeds to success, and I cannot thank them enough.",Harvard University
100,1,it kinda sucks,Harvard University
101,3,"Harvard was pretty good, but from what I hear from friends who were at UCLA, their food was amazing compared to ours. The buffet was still pretty nice lmao",Harvard University
102,5,"BEST COLLEGE EVER, hands down!",Harvard University
103,4,I think its more of a legacy than real stuff,Harvard University
104,5,Molded me into the shinobi that I am today.,Harvard University
105,5,it is very good,Harvard University
106,4,I could have used more of a challenge thank you,Harvard University
